[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 10:56:14] [HB] frames_in=1294 frames_proc=60 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:19] [HB] frames_in=1318 frames_proc=61 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:24] [HB] frames_in=1342 frames_proc=62 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:29] [HB] frames_in=1342 frames_proc=62 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:34] [HB] frames_in=1360 frames_proc=63 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:39] [HB] frames_in=1384 frames_proc=64 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:44] [HB] frames_in=1384 frames_proc=64 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:49] [HB] frames_in=1408 frames_proc=65 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:54] [HB] frames_in=1444 frames_proc=66 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:59] [HB] frames_in=1444 frames_proc=66 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:04] [HB] frames_in=1468 frames_proc=67 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:09] [HB] frames_in=1468 frames_proc=67 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:14] [HB] frames_in=1486 frames_proc=68 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:20] [HB] frames_in=1504 frames_proc=69 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:25] [HB] frames_in=1522 frames_proc=70 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:30] [HB] frames_in=1522 frames_proc=70 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:35] [HB] frames_in=1546 frames_proc=71 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:40] [HB] frames_in=1564 frames_proc=72 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:45] [HB] frames_in=1588 frames_proc=73 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:50] [HB] frames_in=1588 frames_proc=73 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:57:55] [HB] frames_in=1606 frames_proc=74 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:00] [HB] frames_in=1624 frames_proc=75 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:05] [HB] frames_in=1648 frames_proc=76 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:10] [HB] frames_in=1648 frames_proc=76 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:15] [HB] frames_in=1666 frames_proc=77 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:20] [HB] frames_in=1690 frames_proc=78 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:25] [HB] frames_in=1690 frames_proc=78 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:30] [HB] frames_in=1708 frames_proc=79 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:35] [HB] frames_in=1732 frames_proc=80 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:40] [HB] frames_in=1732 frames_proc=80 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:45] [HB] frames_in=1756 frames_proc=81 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:50] [HB] frames_in=1774 frames_proc=82 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:58:55] [HB] frames_in=1776 frames_proc=83 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:00] [HB] frames_in=1798 frames_proc=83 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:05] [HB] frames_in=1823 frames_proc=84 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:10] [HB] frames_in=1823 frames_proc=84 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:59:15] [HB] frames_in=1859 frames_proc=85 events_out=1 ingest_alive=1/1 worker_alive=1/1
